created_at,user,text_clean,text_preprocessed
2022-04-18 03:05:44+00:00,Daaannnnyyyyy,fenomena tahun ininnjht cair di usia pensiunntc  juta up  biaya materai knkasus minyak gorengnppn up  npertamax up  knpph dan ppn untuk fintechnbiaya haji up   jutanbiaya akses nik knpenerapan pajak karbonnnada lagi yg mau ditambahin,"['fenomena', 'ininnjht', 'cair', 'usia', 'pensiunntc', 'juta', 'up', 'biaya', 'materai', 'knkasus', 'minyak', 'gorengnppn', 'up', 'npertamax', 'up', 'knpph', 'ppn', 'fintechnbiaya', 'haji', 'up', 'jutanbiaya', 'akses', 'nik', 'knpenerapan', 'pajak', 'karbonnnada', 'yg', 'ditambahin']"
2022-04-18 03:05:42+00:00,Teknik Pergojekan '18,bece dibajak antrean minyak goreng murah jadi kayak jaman krismon xfxfxaxb,"['bece', 'bajak', 'antre', 'minyak', 'goreng', 'murah', 'kayak', 'jaman', 'krismon', 'xfxfxaxb']"
2022-04-18 03:05:05+00:00,VOI.id,eksklusif yudianto tri blt minyak goreng hanya solusi sesaat yang diperlukan solusi permanen,"['eksklusif', 'yudianto', 'tri', 'blt', 'minyak', 'goreng', 'solusi', 'solusi', 'permanen']"
2022-04-18 03:04:27+00:00,Denis,ayo percaya jokowi nkenaikan harga sembako bbm dan minyak goreng,"['ayo', 'percaya', 'jokowi', 'nkenaikan', 'harga', 'sembako', 'bbm', 'minyak', 'goreng']"
2022-04-18 03:02:36+00:00,febi,warga pandeglang bakal dapat blt minyak goreng ayo percaya jokiwi,"['warga', 'pandeglang', 'blt', 'minyak', 'goreng', 'ayo', 'percaya', 'jokiwi']"
2022-04-18 03:02:01+00:00,Brandal Lokajaya,beem felis bagsdgue punya bisnis dan gue gak merokok xfxfxaxaxfxfxaxancebong dongok kelihatan bahagia padahal buat beli minyak goreng aja entat entitxfxfxaxa,"['beem', 'felis', 'bagsdgue', 'bisnis', 'gue', 'gak', 'rokok', 'xfxfxaxaxfxfxaxancebong', 'dongok', 'bahagia', 'beli', 'minyak', 'goreng', 'aja', 'entat', 'entitxfxfxaxa']"
2022-04-18 03:01:26+00:00,Nayla Azkia ⚘⚘⚘,ngak usah ada pilpres di ncukup gambreng lalu suit ajahnkek zamannya kita sd nndisaksikan live disemua media onlinenrakyat yg hadir offline dpt minyak goreng liter nnhemat anggaran dan semua pasti senang xfxfxxexfxfxxe,"['ngak', 'pilpres', 'ncukup', 'gambreng', 'suit', 'ajahnkek', 'zaman', 'sd', 'nndisaksikan', 'live', 'semua', 'media', 'onlinenrakyat', 'yg', 'hadir', 'offline', 'dpt', 'minyak', 'goreng', 'liter', 'nnhemat', 'anggar', 'senang', 'xfxfxxexfxfxxe']"
2022-04-18 03:00:19+00:00,Bening Nusantara,makanan tanpa bahan minyak goreng ini alternatif menu sehat pas minyak goreng habis xfxfxaxad dapur bening sdh siap tempe bumbu kuning dan botok teri daun singkong semua selera pedes ya xfxfxxbyg mau silakan bw nasi sendirieh puasaxfxfxaxadnnhari rabu bening open order botok daun singkong xfxfxxbxfxfxaxa,"['makan', 'bahan', 'minyak', 'goreng', 'alternatif', 'menu', 'sehat', 'pas', 'minyak', 'goreng', 'habis', 'xfxfxaxad', 'dapur', 'bening', 'sdh', 'tempe', 'bumbu', 'kuning', 'botok', 'teri', 'daun', 'singkong', 'selera', 'pedes', 'ya', 'xfxfxxbyg', 'sila', 'bw', 'nasi', 'sendirieh', 'puasaxfxfxaxadnnhari', 'rabu', 'bening', 'open', 'order', 'botok', 'daun', 'singkong', 'xfxfxxbxfxfxaxa']"
2022-04-18 03:00:12+00:00,CNN Indonesia,daftar harga minyak goreng kemasan di indomaret dan alfamart hari ini,"['daftar', 'harga', 'minyak', 'goreng', 'kemas', 'indomaret', 'alfamart']"
2022-04-18 03:00:04+00:00,GenPI.co,pemkab kubu raya punya cara unik distribusikan minyak goreng curah yakni memanfaatkan data pelaku umkm dan data dari sistem informasi geospasial,"['pemkab', 'kubu', 'raya', 'unik', 'distribusi', 'minyak', 'goreng', 'curah', 'manfaat', 'data', 'laku', 'umkm', 'data', 'sistem', 'informasi', 'geospasial']"
